accuracy,auc_macro,auc_micro,f1_binary,f1_macro,f1_micro,r2,threshold,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
0.7380434782608696,0.7476239537598481,0.7476239537598481,0.7313266443701226,0.737879653044022,0.7380434782608696,-0.04787065612431518,0.5,4,3,0.9240360000000001,1e-05,20,0
0.7380434782608696,0.7470899045800623,0.7470899045800623,0.7313266443701226,0.737879653044022,0.7380434782608696,-0.04787065612431518,0.5,5,3,0.925733,1e-05,20,0
0.7380434782608696,0.7470899045800623,0.7470899045800623,0.7313266443701226,0.737879653044022,0.7380434782608696,-0.04787065612431518,0.5,6,3,0.927143,1e-05,20,0
0.7956521739130434,0.8316788859423968,0.8316788859423968,0.7969762419006479,0.7956434820006522,0.7956521739130434,0.18241936932465475,0.615578,1,0,0.420857,0.003,20,1
0.8043478260869565,0.8495351002831468,0.8495351002831468,0.8068669527896996,0.8043145336635722,0.8043478260869565,0.21721003445977582,0.416667,2,0,0.595198,0.003,20,1
0.842391304347826,0.8914517066806587,0.8914517066806587,0.8445873526259378,0.8423598284629138,0.8423913043478262,0.3694191944259305,0.428571,3,0,0.713388,0.003,20,1
0.8717391304347826,0.893198330426233,0.893198330426233,0.8733905579399142,0.8717173054016751,0.8717391304347827,0.48683768925696413,0.416667,4,0,0.800057,0.003,20,1
0.8728260869565218,0.8877835604653252,0.8877835604653252,0.874328678839957,0.872807903776414,0.8728260869565218,0.4911865223988543,0.5,5,0,0.8536959999999999,0.003,20,1
0.8706521739130435,0.8882964391565153,0.8882964391565153,0.8727272727272727,0.8706177800100452,0.8706521739130435,0.48248885611507397,0.5,6,0,0.877851,0.003,20,1
0.8152173913043478,0.841005242234733,0.841005242234733,0.8160173160173161,0.8152138981833306,0.8152173913043479,0.2606983658786771,0.468421,1,1,0.40586700000000003,0.003,20,1
0.8021739130434783,0.8672991382692591,0.8672991382692591,0.7986725663716814,0.8021140609636185,0.8021739130434783,0.2085123681759955,0.384615,2,1,0.563854,0.003,20,1
0.8369565217391305,0.9154553748268739,0.9154553748268739,0.8351648351648352,0.836937256292095,0.8369565217391305,0.3476750287164798,0.445946,3,1,0.680488,0.003,20,1
0.8641304347826086,0.9124064646350053,0.9124064646350053,0.859392575928009,0.8639759935370854,0.8641304347826086,0.4563958572637332,0.4,4,1,0.779509,0.003,20,1
0.8684782608695653,0.9206503396344143,0.9206503396344143,0.8629671574178935,0.868265187904349,0.8684782608695653,0.47379118983129376,0.5,5,1,0.824471,0.003,20,1
0.8652173913043478,0.9128200764827394,0.9128200764827394,0.8600451467268624,0.8650330555437247,0.8652173913043477,0.46074469040562327,0.5,6,1,0.851455,0.003,20,1
0.8630434782608696,0.9119975797798167,0.9119975797798167,0.8574660633484164,0.86283345008425,0.8630434782608696,0.45204702412184306,0.5,7,1,0.865087,0.003,20,1
0.7902173913043479,0.8327210401891254,0.8327210401891254,0.7904451682953311,0.7902171434512564,0.7902173913043479,0.1604728132387705,0.523364,1,2,0.420653,0.003,20,1
0.8076086956521739,0.8766004728132388,0.8766004728132388,0.8082340195016251,0.8076066498816741,0.8076086956521739,0.23007092198581547,0.424242,2,2,0.580861,0.003,20,1
0.85,0.914338061465721,0.914338061465721,0.8506493506493507,0.8499971644076447,0.85,0.3997163120567374,0.530612,3,2,0.727885,0.003,20,1
0.8717391304347826,0.90348463356974,0.90348463356974,0.8728448275862069,0.871729431336963,0.8717391304347827,0.48671394799054357,0.5,4,2,0.808451,0.003,20,1
0.8695652173913043,0.9043758865248228,0.9043758865248228,0.870967741935484,0.8695498050336761,0.8695652173913043,0.47801418439716303,0.5,5,2,0.851508,0.003,20,1
0.875,0.9024775413711583,0.9024775413711583,0.8785638859556495,0.8748922453294485,0.875,0.4997635933806146,0.25,6,2,0.871815,0.003,20,1
0.8760869565217392,0.9035153664302602,0.9035153664302602,0.879746835443038,0.8759720724300392,0.8760869565217392,0.5041134751773049,0.25,7,2,0.8770879999999999,0.003,20,1
0.8141304347826087,0.8546653685648256,0.8546653685648256,0.8178913738019169,0.8140511253027343,0.8141304347826087,0.25649011536407507,0.481818,1,3,0.39968200000000004,0.003,20,1
0.8032608695652174,0.8865216384439791,0.8865216384439791,0.8060021436227224,0.8032215789778441,0.8032608695652174,0.21301000515144786,0.322581,2,3,0.565873,0.003,20,1
0.8576086956521739,0.9266273140161916,0.9266273140161916,0.8568306010928961,0.8576044897356372,0.8576086956521739,0.4304105562145838,0.464286,3,3,0.715462,0.003,20,1
0.8510869565217392,0.8970986478630943,0.8970986478630943,0.8522114347357066,0.8510783351115554,0.8510869565217392,0.4043224900870075,0.5,4,3,0.788934,0.003,20,1
